"","model_name","make_year","car_price","age"
"310","Ford Fusion",2017,12990,3
"311","Ford Fusion",2017,13277,3
"312","Ford Fusion",2017,11994,3
"313","Ford Fusion",2011,6495,9
"314","Ford Fusion",2013,10500,7
"315","Ford Fusion",2019,13500,1
"316","Ford Fusion",2019,15828,1
"317","Ford Fusion",2019,18450,1
"318","Ford Fusion",2018,14991,2
"319","Ford Fusion",2014,9490,6
"320","Ford Fusion",2019,17195,1
"321","Ford Fusion",2013,8999,7
"322","Ford Fusion",2019,14495,1
"323","Ford Fusion",2014,5999,6
"324","Ford Fusion",2016,11998,4
"325","Ford Fusion",2019,14999,1
"326","Ford Fusion",2019,14750,1
"327","Ford Fusion",2011,9590,9
"328","Ford Fusion",2016,11985,4
"329","Ford Fusion",2019,13761,1
"330","Ford Fusion",2017,12988,3
"331","Ford Fusion",2017,14500,3
"332","Ford Fusion",2015,8495,5
"333","Ford Fusion",2013,6100,7
"334","Ford Fusion",2015,9590,5
"335","Ford Fusion",2007,2499,13
"336","Ford Fusion",2013,7494,7
"337","Ford Fusion",2019,18496,1
"338","Ford Fusion",2016,7999,4
"339","Ford Fusion",2016,9628,4
"340","Ford Fusion",2013,9691,7
"341","Ford Fusion",2018,12595,2
"342","Ford Fusion",2016,6997,4
"343","Ford Fusion",2014,5300,6
"344","Ford Fusion",2016,10000,4
"345","Ford Fusion",2016,10514,4
"346","Ford Fusion",2017,14485,3
"347","Ford Fusion",2019,16976,1
"348","Ford Fusion",2015,12176,5
"349","Ford Fusion",2019,14888,1
"350","Ford Fusion",2013,8900,7
"351","Ford Fusion",2017,11355,3
"352","Ford Fusion",2019,14995,1
"353","Ford Fusion",2016,8197,4
"354","Ford Fusion",2016,11500,4
"355","Ford Fusion",2019,16425,1
"356","Ford Fusion",2018,9999,2
"357","Ford Fusion",2019,13495,1
"358","Ford Fusion",2015,11998,5
"359","Ford Fusion",2019,16494,1
"360","Ford Fusion",2013,8998,7
"361","Ford Fusion",2008,3495,12
"362","Ford Fusion",2019,17671,1
"363","Ford Fusion",2012,8995,8
"364","Ford Fusion",2015,7988,5
"365","Ford Fusion",2019,16000,1
"366","Ford Fusion",2017,12999,3
"367","Ford Fusion",2019,15688,1
"368","Ford Fusion",2020,15900,0
"369","Ford Fusion",2012,6999,8
"370","Ford Fusion",2019,16446,1
"371","Ford Fusion",2019,14247,1
"372","Ford Fusion",2018,13991,2
"373","Ford Fusion",2017,10900,3
"374","Ford Fusion",2016,10995,4
"375","Ford Fusion",2009,3988,11
"376","Ford Fusion",2014,11990,6
"377","Ford Fusion",2014,7254,6
"378","Ford Fusion",2013,7922,7
"379","Ford Fusion",2012,5490,8
"380","Ford Fusion",2019,16214,1
"381","Ford Fusion",2015,14990,5
"382","Ford Fusion",2015,8495,5
"383","Ford Fusion",2017,13556,3
"384","Ford Fusion",2020,16299,0
"385","Ford Fusion",2018,12991,2
"386","Ford Fusion",2009,4750,11
"387","Ford Fusion",2014,9034,6
"388","Ford Fusion",2017,12990,3
"389","Ford Fusion",2018,15888,2
"390","Ford Fusion",2019,14000,1
"391","Ford Fusion",2014,8300,6
"392","Ford Fusion",2017,10443,3
"393","Ford Fusion",2017,9859,3
"394","Ford Fusion",2017,7749,3
"395","Ford Fusion",2017,11989,3
"396","Ford Fusion",2018,15991,2
"397","Ford Fusion",2019,15649,1
"398","Ford Fusion",2018,14995,2
"399","Ford Fusion",2007,3895,13
"400","Ford Fusion",2017,9199,3
"401","Ford Fusion",2019,16817,1
"402","Ford Fusion",2019,14995,1
"403","Ford Fusion",2019,16995,1
"404","Ford Fusion",2019,14500,1
"405","Ford Fusion",2010,5991,10
"406","Ford Fusion",2011,5900,9
"407","Ford Fusion",2013,10995,7
"408","Ford Fusion",2017,10700,3
"409","Ford Fusion",2015,11780,5
"410","Ford Fusion",2015,7991,5
"411","Ford Fusion",2011,6894,9
"412","Ford Fusion",2017,12553,3
"413","Ford Fusion",2012,6943,8
"414","Ford Fusion",2019,13755,1
"415","Ford Fusion",2015,9900,5
"416","Ford Fusion",2008,2750,12
"417","Ford Fusion",2014,9795,6
"418","Ford Fusion",2013,7000,7
"419","Ford Fusion",2019,17485,1
"420","Ford Fusion",2012,6200,8
"421","Ford Fusion",2019,14390,1
"422","Ford Fusion",2019,15784,1
"423","Ford Fusion",2017,13988,3
"424","Ford Fusion",2013,5987,7
"425","Ford Fusion",2013,12538,7
"426","Ford Fusion",2019,14500,1
"427","Ford Fusion",2015,8995,5
"428","Ford Fusion",2012,8695,8
"429","Ford Fusion",2014,9912,6
"430","Ford Fusion",2019,16491,1
"431","Ford Fusion",2014,10077,6
"432","Ford Fusion",2018,13500,2
"433","Ford Fusion",2018,14490,2
"434","Ford Fusion",2013,8995,7
"435","Ford Fusion",2014,10997,6
"436","Ford Fusion",2016,10985,4
"437","Ford Fusion",2018,12995,2
"438","Ford Fusion",2014,11980,6
"439","Ford Fusion",2014,9900,6
"440","Ford Fusion",2010,3500,10
"441","Ford Fusion",2016,9990,4
"442","Ford Fusion",2016,11990,4
"443","Ford Fusion",2019,14685,1
"444","Ford Fusion",2018,12995,2
"445","Ford Fusion",2014,11000,6
"446","Ford Fusion",2009,4800,11
"447","Ford Fusion",2017,12500,3
"448","Ford Fusion",2017,12999,3
"449","Ford Fusion",2012,6988,8
"450","Ford Fusion",2017,12500,3
"451","Ford Fusion",2010,5600,10
"452","Ford Fusion",2019,14250,1
"453","Ford Fusion",2017,13850,3
"454","Ford Fusion",2019,16572,1
"455","Ford Fusion",2019,16277,1
"456","Ford Fusion",2018,13500,2
"457","Ford Fusion",2017,13255,3
"458","Ford Fusion",2017,13490,3
"459","Ford Fusion",2013,6199,7
"460","Ford Fusion",2018,14299,2
"461","Ford Fusion",2014,8798,6
"462","Ford Fusion",2013,8995,7
"463","Ford Fusion",2016,12096,4
"464","Ford Fusion",2016,7986,4
"465","Ford Fusion",2012,5600,8
"466","Ford Fusion",2019,13979,1
"467","Ford Fusion",2012,6999,8
"468","Ford Fusion",2019,14692,1
"469","Ford Fusion",2019,15345,1
"470","Ford Fusion",2019,16453,1
"471","Ford Fusion",2013,7995,7
"472","Ford Fusion",2016,10900,4
"473","Ford Fusion",2019,13990,1
"474","Ford Fusion",2015,9994,5
"475","Ford Fusion",2013,7988,7
"476","Ford Fusion",2019,16900,1
"477","Ford Fusion",2011,4985,9
"478","Ford Fusion",2015,7499,5
"479","Ford Fusion",2017,13998,3
"480","Ford Fusion",2016,11000,4
"481","Ford Fusion",2010,4995,10
"482","Ford Fusion",2014,7859,6
"483","Ford Fusion",2019,18408,1
"484","Ford Fusion",2017,10450,3
"485","Ford Fusion",2013,8779,7
"486","Ford Fusion",2017,13462,3
"487","Ford Fusion",2011,4999,9
"488","Ford Fusion",2019,16125,1
"489","Ford Fusion",2016,9777,4
"490","Ford Fusion",2018,13999,2
"491","Ford Fusion",2015,8999,5
"492","Ford Fusion",2015,7990,5
"493","Ford Fusion",2018,13596,2
"494","Ford Fusion",2016,9995,4
"495","Ford Fusion",2019,16900,1
"496","Ford Fusion",2019,17775,1
"497","Ford Fusion",2018,12556,2
"498","Ford Fusion",2019,14750,1
