model_name,make_year,car_price,car_description,location,car_colour
Ford Fusion,2014,9987,"No accidents, 1 Owner, Fleet use","Puyallup, WA","Silver exterior, Black interior"
Ford Fusion,2010,8307,"No accidents, 1 Owner, Personal use","Brigham City, UT","White exterior, Gray interior"
Ford Fusion,2017,9900,"No accidents, 2 Owners, Fleet use","Belford, NJ","White exterior, Black interior"
Ford Fusion,2019,14158,"No accidents, 2 Owners, Personal use","Tampa, FL","Silver exterior, Gray interior"
Ford Fusion,2014,8498,"No accidents, 2 Owners, Fleet use","Sacramento, CA","Silver exterior, Black interior"
Ford Fusion,2017,7495,"No accidents, 4 Owners, Fleet use","Cary, NC","Unknown exterior, Unknown interior"
Ford Fusion,2014,9000,"No accidents, 1 Owner, Personal use","Devils Lake, ND","White exterior, Black interior"
Ford Fusion,2017,13000,"No accidents, 1 Owner, Personal use","Bardstown, KY","Gray exterior, Black interior"
Ford Fusion,2019,15998,"No accidents, 2 Owners, Personal use","Reno, NV","Silver exterior, Black interior"
Ford Fusion,2017,12427,"No accidents, 2 Owners, Personal use","Blackfoot, ID","Gold exterior, Gray interior"
Ford Fusion,2016,7989,"No accidents, 2 Owners, Personal use","Grapevine, TX","White exterior, Black interior"
Ford Fusion,2020,18678,"No accidents, 1 Owner, Personal use","Harlingen, TX","Gray exterior, Unknown interior"
Ford Fusion,2013,5939,"No accidents, 2 Owners, Personal use","Bedford, OH","Red exterior, Black interior"
Ford Fusion,2019,15946,"No accidents, 1 Owner, Personal use","Fayetteville, NC","Black exterior, Black interior"
Ford Fusion,2015,9900,"No accidents, 3 Owners, Personal use","Mokena, IL","Green exterior, Black interior"
Ford Fusion,2015,12495,"No accidents, 2 Owners, Personal use","Banning, CA","Blue exterior, Unknown interior"
Ford Fusion,2010,6993,"No accidents, 1 Owner, Personal use","Vancouver, WA","Silver exterior, Unknown interior"
Ford Fusion,2019,14687,"No accidents, 1 Owner, Personal use","Lake Jackson, TX","Silver exterior, Black interior"
Ford Fusion,2020,16500,"No accidents, 1 Owner, Personal use","Raynham, MA","White exterior, Black interior"
Ford Fusion,2013,7940,"No accidents, 2 Owners, Personal use","Littleton, CO","Red exterior, Black interior"
Ford Fusion,2018,13676,"No accidents, 1 Owner, Personal use","Sevierville, TN","Black exterior, Black interior"
Ford Fusion,2013,9988,"No accidents, 2 Owners, Fleet use","Aurora, CO","Blue exterior, Black interior"
Ford Fusion,2012,7995,"No accidents, 3 Owners, Personal use","Las Vegas, NV","Red exterior, Black interior"
Ford Fusion,2012,9590,"No accidents, 3 Owners, Personal use","Blue Mound, TX","Silver exterior, Black interior"
Ford Fusion,2016,9980,"No accidents, 2 Owners, Personal use","Palmdale, CA","Black exterior, Black interior"
Ford Fusion,2014,6998,"No accidents, 3 Owners, Personal use","Whiteville, NC","White exterior, Black interior"
Ford Fusion,2019,14993,"No accidents, 1 Owner, Personal use","Seattle, WA","Gray exterior, Black interior"
Ford Fusion,2014,9299,"No accidents, 1 Owner, Personal use","Chantilly, VA","Blue exterior, Black interior"
Ford Fusion,2010,6491,"2 accidents, 2 Owners, Fleet use","Delran, NJ","Blue exterior, Gray interior"
Ford Fusion,2019,13995,"No accidents, 1 Owner, Fleet use","Morrow, GA","Maroon exterior, Black interior"
Ford Fusion,2018,16502,"No accidents, 2 Owners, Personal use","Clive, IA","Blue exterior, Gray interior"
Ford Fusion,2015,8993,"No accidents, 2 Owners, Personal use","New Braunfels, TX","Black exterior, Black interior"
Ford Fusion,2015,9990,"No accidents, 3 Owners, Personal use","San Jose, CA","Gray exterior, Black interior"
Ford Fusion,2017,13900,"No accidents, 1 Owner, Personal use","Peyton, CO","Red exterior, Unknown interior"
Ford Fusion,2019,15200,"No accidents, 1 Owner, Personal use","Pikeville, KY","Silver exterior, Black interior"
Ford Fusion,2007,4985,"No accidents, 4 Owners, Personal use","Decatur, AL","Gray exterior, Black interior"
Ford Fusion,2019,14100,"No accidents, 1 Owner, Fleet use","Killeen, TX","White exterior, Unknown interior"
